Código,Dia,Responsável,Localização área,Número,Sem placa,Nome,Gênero,placa antiga,espécie,n arvore,Altura Geral,Altura da 1a ramificação,Observacao,Largura calçada,Ramificacao U,Ramificacao V,Diâmetro copa,PAP5,PAP4,PAP3,PAP2,PAP,PCOLO,Inclinação (sentido),Canteiro Tipo,Canteiro Largura,Canterio comprimento,Canteiro Diâmetro,Canterio Vege Interferente,Canteiro Protetor tutor,Ângulo de inclinação,Est geral ótimo,Est geral bom,Est geral regular,Est geral péssimo,Est geral morta,Equil geral Desequilibrada,Onde desequilibra?,Qual sentido desequilibra?,Risco de queda,Corpo de frutificação,Intensidade,Vandalismo,Ecologia Insetos,Ecologia Ninhos,Ecologia Liquens,Ecologia Epífitas,Ecologia Parasitas,Fenologia Folha,Fenologia Flor,Fenologia Fruto,Local geral,Local relativo,Tipo de pavimento,Proximidade de equipamentos,Aflor de raízes Calçada,Aflor de raízes Canteiro,Aflor de raízes Construção,Aflor de raízes Leito carroçável,Aflor de raízes Passagem,int_leve,int_pesado,Particip na paisagem é Isolada,Particip na paisagem é Homogênea,Tipo de fiação Derivação,Tipo de fiação Primária,Tipo de fiação Secundária,Tipo de fiação Telefônia,Tipo de fiação Outra,Tipo de fiação todas,Colo pavimentado?,Manilha no canteiro?,Planta no canteiro?,Contato Fiação,Contato Posteamento,Contato Iluminação,Contato Sinalização,Contato Muro Construção,Contato Outro,Dano,Exec Reparos de danos,Exec Controle,Exec Substituição,Exec Ampliação de canteiro,Exec Poda,Qualidade da Ação,Recomend Poda corretiva,Recomend Poda condução,Recomend Poda levantamento,Recomend Poda limpeza,Recomend Reparos de danos,Recomend Ampliação de canteiro,Outra recomendação1,Outra recomendação2,Outra recomendação3,Baixa das recomendações,Fotografia Geral1,Fotografia Geral2,Fotografia Detalhe1,Fotografia Detalhe2,Ficha do recadastro,Radicular Interferências1,Radicular Interferências2,Radicular Interferências3,Radicular Diagnóstico1,Radicular Diagnóstico2,Radicular Diagnóstico3,Radicular cupim tipo,Radicular visualização cupim,Radicular cupim Ataque,Radicular cupim Atividade,Rad Cupim Coleta,Radicular sanidade outros,Rad fungo tipo,Rad fungo int ataque,Colo Diagnóstico1,Colo Diagnóstico2,Colo Diagnóstico3,Colo Cupim tipo,Colo Cupim visualização,Colo Cupim Ataque,Colo Cupim Atividade,Colo Cupim Coleta,Colo sanidade outros,Colo fungo tipo,Colo fungo int ataque,Tronco Interferências1,Tronco Interferências2,Tronco Interferências3,Tronco Diagnóstico1,Tronco Diagnóstico2,Tronco Diagnóstico3,Tronco Cupim tipo,Tronco visualização Cupim,Tronco Cupim Ataque,Tronco Cupim Atividade,Tronco Cupim Coleta,Tronco fungo tipo,Tronco fungo int ataque,Tronco sanidade outros,Copa Interferências1,Copa Interferências2,Copa Interferências3,Copa Diagnóstico1,Copa Diagnóstico2,Copa Diagnóstico3,1a Ram Cupim tipo,1a Ram visualização Cupim,1a Ram Cupim Ataque,1a Ram Cupim Atividade,1a Ram Cupim Coleta,1a Ram fungo tipo,1a Ram fungo int ataque,1a Ram sanidade outros,UTMX,UTMY,Latitude,Longitude
5402,,,Guarita Monte Alegre,,,Jerivá,Syagrus romanzoffiana,,,4975,12,0,,,FALSE,FALSE,5,,,,,"0,6999999881","0,75",,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,4696,,4697,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,"229684,901","7485992,578","-22,71173575","-47,63148586"
5403,1/5/2015,José Augusto Cella,Gramadão Central,,,Tipuana,Tipuana tipu,,,631,6,2,,,FALSE,FALSE,2,0,0,0,0,"0,5600000024","0,4600000083",,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,1146,,1147,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,"229548,9999",7486188,"-22,70995046","-47,63277402"
5404,1/5/2015,José Augusto Cella,Gramadão Central,,,Mangueira,Mangifera indica,,,657,8,"2,299999952",,,FALSE,FALSE,"1,200000048",0,0,0,0,"0,2599999905","0,3300000131",,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,1150,,1151,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,"229549,9999",7486185,"-22,70997769","-47,63276481"
5405,1/5/2015,Demóstenes Ferreira da Silva Filho,Gramadão Central,,,Jacarandá-mimoso,Jacaranda mimosifolia,,,635,6,"1,700000048",,,FALSE,FALSE,"1,5",0,0,0,0,"0,3300000131","0,3799999952",,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,1188,,1189,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,"229552,9999",7486177,"-22,71005036","-47,63273701"
5406,1/5/2015,Flávio Henrique Mendes,Gramadão Central,,,Não identificado,Não identificado,,,732,6,"2,099999905",,,FALSE,FALSE,"1,5",0,0,0,0,"0,3000000119","0,3799999952",,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,"229549,9999",7486179,"-22,71003183","-47,63276585"
5407,1/5/2015,Flávio Henrique Mendes,Gramadão Central,,,Não identificado,Não identificado,,,734,6,2,,,FALSE,FALSE,"0,8000000119",0,0,0,0,"0,1199999973","0,1700000018",,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,1008,,1009,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,"229568,9999",7486179,"-22,71003488","-47,63258104"
5408,1/5/2015,Flávio Henrique Mendes,Gramadão Central,,,Saguaragi,Rhamnidium elaeocarpum,,,704,9,7,,,FALSE,FALSE,"2,5",0,0,0,0,"0,3799999952","0,4199999869",,,,,,FALSE,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,1043,,1044,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,1,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,"229580,9999",7486201,"-22,70983827","-47,63246051"
5409,12/12/2013,Flávio Henrique Mendes,LSO/LPV/LCF,,,Jerivá,Syagrus romanzoffiana,,,999,15,0,,,FALSE,FALSE,5,0,0,0,0,"0,8100000024","1,070000052",,,,,,FALSE,,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Potencial,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,7910,,7911,,FALSE,1,1,1,1,1,1,,,,,FALSE,1,,,1,1,1,,,,,FALSE,1,,,1,1,,1,1,1,,,,,FALSE,,,1,1,1,1,1,1,1,,,,,FALSE,,,1,"229669,5484","7486362,793","-22,70839239","-47,63157129"
5410,2/5/2014,Demóstenes Ferreira da Silva Filho,Estrada das Sibipirunas,,,Coqueiro,Cocos nucifera,,,2279,20,"0,009999999776",folhas com lagartas,,FALSE,FALSE,"3,5",0,0,0,0,"1,169999957","1,899999976",3,,,,,FALSE,,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Caule,,Médio,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,26,31,FALSE,0763,,0764,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,12,1,1,,,,,FALSE,,,,1,1,,13,1,1,,,,,FALSE,,,,1,1,1,14,1,1,,,,,FALSE,,,,"229255,7182","7486205,103","-22,7097491","-47,63562376"
5411,2/5/2014,Demóstenes Ferreira da Silva Filho,Estrada das Sibipirunas,,,Palmeira Imperial,Roystonea oleracea,,,2292,21,0,,,FALSE,FALSE,4,0,0,0,0,"1,600000024","2,599999905",,,,,,FALSE,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Baixo,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Área aberta,NDA,SEM PAVIMENTO,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,0761,,0762,,FALSE,1,1,1,1,1,1,,,,,FALSE,,,,1,1,1,,,,,FALSE,,,,1,1,,14,1,1,,,,,FALSE,,,,1,1,1,1,1,1,,,,,FALSE,,,,"229236,3127","7486151,141","-22,71023295","-47,63582185"
